brand,ai_visibility_score,queries_mentioned,queries_total,source_url
FreshBooks,100%,12,12,https://geobuddy.co/check/freshbooks
Zoom,100%,12,12,https://geobuddy.co/check/zoom
Shopify,100%,12,12,https://geobuddy.co/check/shopify
Poshmark,100%,12,12,https://geobuddy.co/check/poshmark
Instacart,100%,12,12,https://geobuddy.co/check/instacart
Microsoft Teams,100%,12,12,https://geobuddy.co/check/microsoft-teams
Acorns,100%,12,12,https://geobuddy.co/check/acorns
Notion,92%,11,12,https://geobuddy.co/check/notion
Nike,92%,11,12,https://geobuddy.co/check/nike
Airbnb,92%,11,12,https://geobuddy.co/check/airbnb
Google Drive,92%,11,12,https://geobuddy.co/check/google-drive
Typeform,92%,11,12,https://geobuddy.co/check/typeform
Jotform,92%,11,12,https://geobuddy.co/check/jotform
Unbounce,92%,11,12,https://geobuddy.co/check/unbounce
Veja,92%,11,12,https://geobuddy.co/check/veja
Gorgias,92%,11,12,https://geobuddy.co/check/gorgias
Zendesk,92%,11,12,https://geobuddy.co/check/zendesk
Toggl Track,92%,11,12,https://geobuddy.co/check/toggl-track
Facebook Marketplace,92%,11,12,https://geobuddy.co/check/facebook-marketplace
Bubble,92%,11,12,https://geobuddy.co/check/bubble
WooCommerce,92%,11,12,https://geobuddy.co/check/woocommerce
Wave,92%,11,12,https://geobuddy.co/check/wave
Samsung,92%,11,12,https://geobuddy.co/check/samsung
HubSpot CRM,92%,11,12,https://geobuddy.co/check/hubspot-crm
Zoho CRM,92%,11,12,https://geobuddy.co/check/zoho-crm
Evernote,92%,11,12,https://geobuddy.co/check/evernote
Pipedrive,92%,11,12,https://geobuddy.co/check/pipedrive
Asana,92%,11,12,https://geobuddy.co/check/asana
Buildium,89%,8,9,https://geobuddy.co/check/buildium
Matterport,89%,8,9,https://geobuddy.co/check/matterport
Thinkific,83%,10,12,https://geobuddy.co/check/thinkific
Mailchimp,83%,10,12,https://geobuddy.co/check/mailchimp
Freshdesk,83%,10,12,https://geobuddy.co/check/freshdesk
UiPath,83%,10,12,https://geobuddy.co/check/uipath
Todoist,83%,10,12,https://geobuddy.co/check/todoist
Clockify,83%,10,12,https://geobuddy.co/check/clockify
Square,83%,10,12,https://geobuddy.co/check/square
Zapier,83%,10,12,https://geobuddy.co/check/zapier
